@relation HW8_ionosphere

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute CLASS {1,2}

@data
0.347937,0,0.720619,0.050241,0.767382,-0.650526,0.913227,-0.753837,0.962700,-1.265711,0.929584,-1.148970,0.902493,-1.236992,0.862327,-1.442724,0.825783,-1.330865,0.541894,-1.321473,0.606326,-1.488898,0.444434,-1.418192,0.280984,-1.612787,-0.134696,-1.446229,0.042690,-1.592292,-0.074462,-1.727376,-0.228471,-1.934632,1
0.347937,0,0.720619,-1.328558,0.767382,-2.421581,0.913227,-2.149516,0.962700,0.373720,0.929584,-1.144322,0.963054,1.831959,1.004615,-2.336826,1.000050,-0.583626,1.022903,-1.756901,1.087691,1.913874,1.055911,2.004727,1.043935,-0.664104,0.887941,-1.014340,1.079303,-1.913666,1.132992,-1.939751,1.244848,-2.166132,2
0.347937,0,0.720619,-0.470130,0.767382,-0.472166,0.913207,-0.521038,0.962700,-0.773204,0.824082,-1.023712,0.894505,-0.790635,0.908403,-0.905931,0.910829,-0.558503,0.865415,-0.789490,0.858823,-0.929000,0.774130,-0.862241,0.768718,-0.786996,0.427348,-0.934798,0.484098,-1.299344,0.585540,-1.249237,0.569977,-1.466337,1
0.347937,0,0.720619,-2.064590,0.767382,0.232007,0.618741,-0.995335,0.962700,-0.624666,0.929584,0.396974,0.963054,-0.031713,1.004615,-0.477348,1.000050,-2.005756,1.022903,-1.880216,0.461793,0.288969,1.055911,1.290905,1.043935,-0.194561,0.887941,0.779560,1.079303,-1.254066,1.132992,1.729202,1.244848,-0.432893,2
0.347937,0,0.720619,0.066665,0.767382,-0.177273,0.913227,-0.336035,0.962700,-0.193666,0.929584,0.083808,0.963054,0.222009,1.004615,0.123738,1.000050,0.219878,1.022903,0.568115,1.087691,0.847767,1.055911,0.900370,1.043935,0.533962,0.887941,0.794450,1.002951,1.012487,1.132992,0.640051,1.244848,0.966483,1
0.347937,0,-0.265260,-2.229847,0.767382,0.328098,-1.188045,-2.149516,0.962700,-2.441548,-0.069801,-2.334276,-0.644182,-0.188763,-2.058980,-0.902724,-1.227725,0.080213,1.022903,-1.880216,-0.552115,-0.016010,-0.600356,0.108835,-0.965794,1.953899,-0.279193,0.608240,-0.657153,0.054938,1.132992,0.458889,-0.668430,-0.030918,2
0.347937,0,0.713487,0.046005,0.767382,-0.278312,0.868795,-0.181239,0.886023,-0.327013,0.916700,-0.155533,0.791449,0.020301,0.915955,-0.040235,0.818971,0.231130,0.801017,0.212560,0.786507,0.212295,0.785409,0.382640,0.721159,0.403754,0.490347,0.374378,0.716557,0.357690,0.732666,0.317566,0.688869,0.225628,1
-2.865899,0,-1.288590,-0.100517,-3.079797,-2.421581,0.913227,1.691099,-2.981564,1.691956,-2.619684,1.707619,0.963054,-2.209485,1.004615,2.026455,-2.236090,-2.005756,-2.170624,1.972783,1.087691,-1.945894,-2.256623,2.004727,-2.413575,2.106585,0.887941,-1.691672,-2.393610,2.023542,-2.366672,-1.939751,1.244848,-2.166132,2
0.347937,0,0.058886,-0.043250,0.125403,-0.142312,0.044402,0.131060,-0.836358,0.329574,0.283990,-0.068167,0.353895,0.099897,0.677377,0.084272,0.326496,0.372667,-0.344006,0.840464,0.331543,0.395557,0.251296,0.537781,0.159470,0.606549,-0.154921,0.574006,0.097042,0.553113,0.094694,0.509593,1.244848,0.674471,1
-2.865899,0,0.720619,-2.365858,-1.156208,-0.251490,-1.116596,-0.229209,0.962700,1.691956,0.929584,-2.334276,-1.799383,1.831959,-0.527182,-0.155185,-2.236090,2.020317,1.022903,1.972783,-2.191921,1.913874,1.055911,1.175274,-2.413575,2.106585,0.887941,1.944525,1.079303,-1.913666,1.132992,1.954525,1.244848,2.104295,2
0.347937,0,0.720619,-0.114381,0.767382,-0.464896,0.913227,-0.376093,0.962700,-0.593975,0.929584,-0.537108,0.963054,-0.986726,1.004615,-0.495870,0.872610,-0.634556,0.806909,-0.619014,0.951472,-0.866549,0.990654,-0.779693,0.730581,-0.653956,0.552434,-0.641375,0.658802,-0.697679,0.790865,-0.782664,0.754169,-0.992597,1
-2.865899,0,0.720619,2.164823,-1.156208,-0.251490,-1.116596,-0.229209,-2.981564,-2.441548,-0.845050,-0.313329,-0.644182,-0.188763,-2.058980,-2.336826,-2.236090,-2.005756,-2.170624,1.972783,-2.191921,1.913874,-0.600356,0.108835,-0.684820,0.139995,0.887941,-1.691672,-2.393610,2.023542,-2.366672,1.954525,-2.581707,2.104295,2
0.347937,0,0.641677,0.060050,0.767382,-0.158263,0.913227,-0.050370,0.768820,-0.481110,0.739042,-0.261188,0.693842,-0.312876,0.813661,0.059292,0.620515,0.012917,0.627002,-0.055725,0.529517,-0.168567,0.462271,-0.003572,0.277699,-0.011530,0.075298,0.086337,0.205240,0.030311,0.280999,0.007095,0.328369,-0.034804,1
-2.865899,0,-3.297799,2.164823,-1.156208,-0.251490,-1.116596,-0.229209,-2.981564,1.691956,0.929584,1.707619,-0.644182,-0.188763,-0.527182,-0.155185,1.000050,-2.005756,-2.170624,1.972783,1.087691,1.913874,-0.600356,0.108835,-2.413575,-1.826594,0.887941,-1.691672,1.079303,2.023542,-2.366672,1.954525,-0.668430,-0.030918,2
0.347937,0,0.720619,-0.240561,0.767382,-0.187646,0.913227,-0.327740,0.962700,-0.410075,0.929584,-0.550305,0.713820,-0.293881,0.903394,-0.299130,0.501199,-0.141261,0.475708,-0.346087,1.004224,-0.625043,0.738769,-0.491290,0.783447,-0.545125,0.355768,-0.403986,0.612092,-0.704471,0.334299,-0.504399,0.560028,-0.874050,1
0.347937,0,0.720619,1.209302,0.767382,-2.421581,0.913227,-2.149516,0.962700,-2.441548,0.929584,-2.334276,0.963054,-2.209485,1.004615,-2.336826,1.000050,-2.005756,1.022903,-1.880216,1.087691,-1.227900,1.055911,-1.787057,1.043935,-1.826594,0.887941,-1.691672,1.079303,-1.913666,1.132992,-1.939751,1.244848,-2.166132,2
0.347937,0,0.720619,-0.297919,0.767382,-0.626113,0.641942,-1.799617,0.860484,0.887018,0.849247,-1.149637,0.777997,-0.830059,0.819835,-0.666409,0.693442,-1.244425,-0.378337,-1.880216,0.928367,0.197300,0.432442,-1.380331,0.272720,-1.489678,-0.116777,-1.447738,0.048716,-1.710388,-0.039675,-1.786472,-0.923680,-2.166132,1
-2.865899,0,-3.297799,-2.365858,-1.156208,-0.251490,-3.146419,1.691099,0.962700,-1.149828,-0.845050,-0.313329,-0.644182,-0.188763,-0.527182,-0.155185,1.000050,-2.005756,-2.170624,-1.880216,1.087691,-1.945894,-0.600356,0.108835,1.043935,-1.826594,-2.986491,1.944525,-2.393610,-1.913666,-0.616840,0.007387,-2.581707,2.104295,2
0.347937,0,0.720619,0.089318,0.767382,0.125824,0.913227,-0.484763,0.926649,0.958673,0.929584,0.654786,0.963054,1.005746,1.004615,1.388500,1.000050,1.673612,1.022903,1.878366,1.087691,1.913874,1.023481,2.004727,0.899135,2.106585,0.576030,1.944525,0.642098,2.023542,0.509317,1.954525,0.335639,2.104295,1
-2.865899,0,-3.297799,-2.365858,0.767382,1.918601,0.913227,-2.149516,-2.981564,1.691956,0.929584,-2.334276,-2.251418,-2.209485,-0.527182,-0.155185,1.000050,2.020317,-2.170624,-1.880216,1.087691,-1.945894,1.055911,-1.787057,1.043935,2.106585,0.887941,-1.691672,1.079303,-1.913666,-2.366672,1.954525,1.244848,-2.166132,2
0.347937,0,0.720619,-0.423011,0.767382,-0.604260,0.913227,-0.683477,0.962700,-0.530092,0.929584,-0.818768,0.963054,-0.717404,1.004615,-0.634601,1.000050,-0.769872,1.022903,-0.843027,1.087691,-0.701486,1.055911,-1.022273,1.043935,-0.796947,0.865082,-0.776932,1.079303,-1.437658,1.132992,-1.467784,1.244848,-1.833828,1
0.347937,0,0.720619,-2.365858,0.767382,1.918601,0.913227,-2.149516,0.962700,-2.441548,0.929584,-2.334276,0.963054,-0.225944,1.004615,-2.336826,1.000050,2.020317,1.022903,-1.602473,1.087691,1.913874,1.055911,-1.787057,-0.684820,0.139995,0.887941,1.944525,1.079303,-1.503035,1.132992,1.954525,1.244848,2.104295,2
0.347937,0,0.483693,-0.432141,0.640578,-0.491437,0.752871,-0.545099,0.732098,-0.726888,0.724827,-0.956172,0.726292,-0.824543,0.730669,-0.938918,0.687455,-0.669744,0.627593,-0.859595,0.604850,-0.926008,0.495264,-0.840722,0.374855,-0.805659,0.051141,-0.866783,0.214183,-1.123350,0.206894,-1.109822,0.138763,-1.271178,1
0.347937,0,0.143032,-0.159303,-0.362015,-0.752065,0.873017,-0.411119,0.956961,-0.586349,0.929584,-0.534643,0.303525,1.831959,0.755331,-2.336826,0.713166,-0.352308,0.715686,-0.498087,-0.977054,1.773571,0.259793,0.212275,0.447394,-0.261032,0.754738,-0.624576,0.450897,-0.376206,0.890396,-1.693516,-1.112042,-2.166132,2
0.347937,0,0.720619,-0.460684,0.234817,0.349322,0.577150,-1.350438,0.962700,-0.957765,0.929584,-1.321034,0.640996,-0.441899,0.649805,0.164163,1.000050,0.799149,1.022903,0.558540,1.027903,-0.052504,0.933330,-1.622834,1.043935,0.431110,0.887941,-0.084146,1.079303,-0.164148,1.132992,1.046613,1.244848,-1.264175,1
0.347937,0,0.040723,-2.365858,0.767382,1.918601,0.913227,-1.521979,0.585885,-1.210715,0.929584,-2.334276,0.963054,-1.994783,1.004615,1.445986,-0.333418,1.436174,1.022903,1.549647,1.087691,1.629563,1.055911,-1.787057,1.043935,1.818617,0.887941,-0.029403,1.009532,-0.658681,1.132992,1.278245,1.244848,0.710684,2
0.347937,0,0.720619,-0.090708,0.767382,-0.277726,0.913227,-0.286050,0.962700,-0.519758,0.891234,-0.439759,0.963054,-0.320999,0.962659,-0.327906,0.879681,-0.267801,0.930036,-0.229726,1.080951,-0.290980,0.970033,-0.148343,0.861880,-0.270058,0.676145,-0.199177,0.830017,-0.310277,0.849117,-0.384007,0.936179,-0.474317,1
-2.865899,0,0.720619,2.164823,0.767382,-2.421581,-1.116596,-0.229209,-1.009432,-0.374796,-2.619684,-2.334276,-0.644182,-0.188763,-0.527182,-0.155185,-2.236090,2.020317,1.022903,1.972783,-2.191921,1.913874,-2.256623,2.004727,1.043935,-1.826594,0.887941,1.944525,-2.393610,2.023542,1.132992,1.954525,-0.668430,-0.030918,2
0.347937,0,0.544633,-0.002043,0.655640,-0.202012,0.805748,-0.126568,0.836128,-0.347494,0.786034,-0.185039,0.846786,0.055077,0.882807,-0.019683,0.820428,0.263379,0.763333,0.324451,0.775849,0.212662,0.675648,0.378469,0.624799,0.362200,0.375547,0.367906,0.495628,0.356134,0.624229,0.216782,0.580137,0.213500,1
0.347937,0,0.720619,-0.044767,0.761072,-0.146002,0.863395,-0.092041,0.208261,-2.441548,0.770506,-0.088054,0.777611,0.895152,0.730071,0.153233,0.626745,0.313041,1.022903,0.836206,0.527697,0.299931,0.395690,0.421961,0.256418,0.462319,-0.102616,0.417667,0.097875,0.358812,0.054256,0.293168,1.244848,2.104295,2
0.347937,0,0.720619,0.047591,0.767382,0.198717,0.913227,0.275467,0.825656,0.290967,0.694853,0.475629,0.568863,0.823255,0.691439,0.986271,0.449162,1.230321,0.346179,1.259959,0.231827,1.279617,0.071310,1.413967,-0.090405,1.557552,-0.512434,1.442475,-0.322087,1.446387,-0.417849,1.422722,-0.534691,1.494564,1
0.347937,0,-3.297799,-2.365858,0.767382,1.918601,0.913227,-0.505253,-1.009432,-0.374796,-2.619684,1.707619,0.963054,1.831959,-0.252730,-2.336826,-2.236090,-2.005756,-0.434143,-1.880216,1.087691,-1.945894,-2.256623,2.004727,-2.413575,-1.826594,0.887941,-1.691672,-2.393610,-1.913666,1.132992,1.954525,-0.668430,-0.030918,2
0.347937,0,0.538424,0.098629,0.508236,0.114995,0.913227,0.089524,0.078928,1.033778,0.400867,0.428743,-0.382428,0.674873,0.355440,0.850246,0.208280,1.006109,-0.068660,0.296093,0.068125,1.035043,-0.082375,1.167236,-0.255120,1.251649,-0.688449,1.155561,-0.437752,1.159345,-0.495629,1.079500,-0.436215,1.415454,1
0.347937,0,-2.580230,-2.365858,0.767382,1.546583,0.913227,-2.149516,0.962700,-0.858271,0.929584,1.630035,0.963054,-0.950151,1.004615,-2.336826,1.000050,0.285865,1.022903,-1.880216,1.087691,-0.081491,-1.996357,2.004727,0.244386,1.825638,0.887941,1.944525,1.079303,-1.913666,1.132992,-1.939751,1.244848,-2.166132,2
0.347937,0,0.701030,-0.231567,0.763400,-0.533797,0.886089,-0.602324,0.950354,-0.908907,0.800710,-0.922240,0.844938,-0.955930,0.848556,-1.110656,0.756077,-1.040787,0.822238,-1.053266,0.743594,-1.170833,0.637289,-1.116195,0.495609,-1.206706,0.214700,-1.203949,0.402258,-1.428464,0.341228,-1.555736,0.272807,-1.808377,1
-2.865899,0,-1.288590,-0.100517,-1.156208,-0.251490,-1.116596,-0.229209,0.962700,1.691956,0.929584,1.707619,-0.644182,-0.188763,-0.527182,-0.155185,-1.224796,-2.005756,-2.170624,-1.880216,-0.552115,-0.016010,-0.600356,0.108835,-2.413575,-1.826594,-2.986491,-1.691672,-2.393610,2.023542,1.132992,0.007387,-0.668430,-0.030918,2
0.347937,0,0.720619,-0.185015,0.767382,-0.411708,0.905128,-0.441191,0.959505,-0.580045,0.910791,-0.592502,0.909597,-0.627159,0.932437,-0.702755,0.858242,-0.685204,0.872504,-0.573125,0.923562,-0.685506,0.855072,-0.604835,0.805592,-0.705442,0.561946,-0.657574,0.756895,-0.783550,0.746612,-0.926791,0.768729,-1.101770,1
0.347937,0,0.612082,-0.161342,-3.079797,0.315577,-1.855309,0.455170,0.356427,-1.685675,0.929584,-0.381091,-1.110602,-0.199877,-1.367404,0.181922,0.869326,-0.924151,1.022903,-0.925135,-1.039711,-0.623036,-1.823741,0.817159,0.765122,-0.779071,-0.037893,-0.930434,1.079303,-1.153647,-0.785419,0.406102,-0.785465,0.864014,2
0.347937,0,0.683770,-0.080718,0.730891,-0.334344,0.863801,-0.338647,0.882769,-0.518869,0.911909,-0.404413,0.878079,-0.413104,0.903042,-0.434217,0.906477,-0.225889,0.698473,-0.323604,0.895407,-0.351559,0.828290,-0.246436,0.844904,-0.247206,0.535619,-0.257847,0.706763,-0.414850,0.728974,-0.442304,0.753576,-0.541277,1
0.347937,0,-1.288590,-0.100517,0.767382,0.870968,-1.116596,-0.229209,-0.792675,-2.441548,-0.845050,-0.313329,-0.644182,-0.188763,-2.058980,-0.644178,-1.519463,-1.669518,0.654690,1.262810,-0.552115,-0.016010,0.284885,0.785062,-2.245920,1.021578,0.887941,-1.691672,-2.393610,1.660788,-0.616840,0.007387,-0.668430,-0.030918,2
0.347937,0,0.401838,-0.516479,-0.316676,-0.188145,0.779685,-0.234336,0.724999,-0.089688,0.594551,-0.349483,0.779170,0.922452,0.877691,-1.409323,0.595532,-0.586968,0.810151,-0.341020,1.087691,1.913874,0.171630,-0.200006,0.872201,0.085363,0.759271,0.105373,0.412191,-0.580882,0.861121,-0.493144,1.117098,-0.061345,1
-2.865899,0,0.720619,2.164823,0.767382,-2.421581,-1.116596,-0.229209,-1.009432,-0.374796,0.929584,1.707619,0.963054,1.831959,-2.058980,-2.336826,1.000050,-2.005756,-2.170624,1.972783,-0.552115,-0.016010,1.055911,-1.787057,1.043935,-1.826594,0.887941,1.944525,-2.393610,-1.913666,-0.616840,0.007387,-0.668430,-0.030918,2
0.347937,0,0.720619,2.164823,0.767382,1.918601,0.730746,1.691099,-1.541316,1.691956,-2.320694,1.707619,-2.251418,1.831959,-2.058980,1.427071,-2.236090,-1.155832,-2.170624,-0.763848,-2.191921,-1.945894,-1.475494,-1.787057,0.871302,-1.826594,0.887941,-1.691672,1.079303,-1.913666,1.132992,-0.667997,1.244848,0.713097,1
0.347937,0,-2.653546,-2.365858,-3.079797,1.918601,0.913227,0.986673,-0.940111,-2.441548,-2.619684,-2.334276,0.963054,1.831959,0.831262,-2.336826,-2.236090,2.020317,0.764866,1.972783,1.087691,-1.945894,-2.256623,-1.787057,-1.010794,2.106585,0.887941,-1.691672,-2.393610,-1.913666,-2.366672,1.954525,1.244848,0.686749,2
0.347937,0,0.633400,0.083949,0.719042,-0.374469,0.855682,-0.392128,0.885728,-0.510396,0.835830,-0.287481,0.889700,-0.528143,0.922082,-0.580540,0.994063,-0.642286,0.868704,-0.645368,0.947126,-0.543177,0.892603,-0.456273,1.042189,-0.661331,0.640830,-0.502381,0.941411,-0.547829,0.852162,-0.753184,0.903634,-0.910050,1
0.347937,0,-1.121163,-0.569103,-3.079797,1.918601,-3.146419,1.691099,0.408038,0.600153,-2.302788,-1.580927,-2.251418,-2.209485,-2.058980,2.026455,-0.662566,1.198032,-1.246305,-0.765023,-1.775869,-1.945894,-2.256623,-0.778461,-2.413575,0.608240,0.887941,-1.691672,-2.393610,-0.711125,-2.366672,-1.939751,-2.581707,1.281341,2
0.347937,0,0.720619,-0.151691,0.767382,-0.349014,0.913227,-0.357524,0.962700,-0.556650,0.929584,0.821898,0.963054,-0.446163,1.004615,-0.472003,1.000050,0.659646,1.022903,-0.293532,1.079229,-0.381704,0.983051,-0.271879,1.043935,-1.674852,0.641527,-0.269792,0.782716,-0.385439,0.756411,-0.435879,0.747243,-0.521612,1
-2.865899,0,-3.297799,2.164823,0.767382,-2.421581,-3.146419,1.691099,-1.009432,-0.374796,0.929584,1.707619,-2.251418,-0.567648,1.004615,2.026455,-2.236090,-2.005756,1.022903,-1.880216,-2.191921,-1.945894,1.055911,2.004727,1.043935,-1.826594,0.887941,1.944525,1.079303,2.023542,-0.616840,0.007387,-2.581707,-2.166132,2
0.347937,0,0.720619,0.031144,0.662065,-0.090512,0.912253,0.024867,0.962700,-0.414292,0.838120,-0.171195,0.894152,0.107151,0.925912,0.089682,0.852741,0.412284,0.970865,0.359629,1.082689,0.259153,0.903269,0.419951,0.899878,0.581121,0.663669,0.554970,0.880791,0.498091,0.753699,0.583272,0.930573,0.634543,1
0.347937,0,-0.943247,-2.365858,-3.079797,1.918601,-1.116596,-0.229209,-1.009432,-0.374796,-2.619684,1.707619,-0.644182,-0.188763,-1.467001,-1.632330,0.684866,0.734913,0.256122,0.323218,-0.552115,-0.016010,-2.256623,-0.404629,-2.150666,2.032838,0.887941,1.944525,-2.393610,1.387841,-0.616840,0.007387,-0.668430,-0.030918,2
0.347937,0,0.720619,0.120829,0.767382,0.013196,0.913227,0.204282,0.935129,-0.183890,0.839610,0.074916,0.850419,0.302030,0.839809,0.463157,0.765899,0.545184,0.761928,0.684514,0.815368,0.595724,0.639012,0.859551,0.632371,0.821576,0.276788,0.903591,0.432716,0.961106,0.376907,0.923184,0.369562,1.055970,1
0.347937,0,-1.255097,-0.907545,-1.156208,-0.251490,-1.116596,-0.229209,-1.009432,-0.374796,-0.845050,-0.313329,-0.644182,-0.188763,-0.338894,-1.355087,-0.248890,1.674337,1.022903,-0.768472,-0.552115,-0.016010,-0.462339,-1.787057,-0.868500,-0.187776,0.887941,-1.267455,-2.393610,0.426099,-0.616840,0.007387,1.244848,-0.613661,2
0.347937,0,0.720619,0.280082,0.754917,0.102973,0.803942,0.411156,0.800176,0.092497,0.777108,0.436584,0.709914,0.758935,0.713742,0.918727,0.651728,0.979799,0.465489,1.143945,0.375244,1.104693,0.320296,1.335856,0.150359,1.226261,-0.210131,1.383259,-0.037516,1.553971,-0.023279,1.308932,-0.245576,1.649175,1
0.347937,0,-0.006393,2.164823,-0.755466,-2.421581,0.913227,1.691099,0.720502,0.264265,-2.032032,1.707619,-0.739347,0.998856,-0.500314,-0.045143,-1.451892,-2.005756,-0.346258,-0.017079,-0.016309,-0.862457,-2.256623,2.004727,0.714106,-1.826594,0.887941,0.014795,1.079303,2.023542,-0.256129,-1.939751,1.244848,2.104295,2
0.347937,0,0.720619,-1.039660,0.767382,1.400622,0.650568,0.127834,0.962700,-0.579921,0.820338,0.656524,0.407786,-0.513695,1.004615,-0.136009,0.961426,-1.001774,0.703950,-0.425651,0.891980,-0.384521,1.055911,-0.124587,0.933174,0.349988,0.750205,-0.005368,1.079303,-0.484204,0.152561,0.393874,0.314651,-0.146262,1
0.347937,0,0.414878,0.139563,0.767382,0.597667,0.913227,-2.149516,0.310674,-0.200693,0.929584,0.233095,0.963054,1.035754,1.004615,0.619450,1.000050,0.061069,0.359033,-0.782593,1.087691,1.209389,0.875874,0.612858,0.888918,-0.515528,0.887941,0.416267,-0.002839,0.016609,1.132992,0.444792,1.244848,0.767844,2
0.347937,0,0.720619,0.534820,0.767382,-0.197737,0.913227,-0.080116,0.962700,-0.285574,0.907614,0.358960,0.963054,-0.077846,1.004615,-0.059542,0.931282,-0.487886,0.773345,-0.120705,1.087691,0.064080,1.054801,0.627854,1.043935,-0.628076,0.818472,0.086901,0.849170,0.514804,1.038116,-0.421392,0.868984,-0.187408,1
-2.865899,0,0.720619,-2.365858,0.767382,-2.421581,0.913227,-2.149516,0.962700,-2.441548,0.929584,1.707619,0.963054,1.831959,1.004615,-2.336826,1.000050,2.020317,1.022903,1.972783,1.087691,1.913874,1.055911,-1.787057,1.043935,-1.826594,0.887941,-1.691672,1.079303,1.346835,-0.616840,0.007387,1.244848,-2.166132,2
0.347937,0,0.720619,1.435021,0.407843,1.528441,-0.243386,1.691099,-0.602798,1.289787,-1.623618,1.707619,-1.916068,1.369052,-2.058980,0.723318,-1.249812,-1.173043,-2.137203,-0.778682,-1.750534,-1.489264,-1.224288,-1.739489,0.030297,-1.826594,-0.239945,-1.569787,-0.209617,-1.913666,1.020478,-0.678434,1.222195,0.042661,1
0.347937,0,0.720619,2.164823,0.767382,-2.421581,0.913227,-2.149516,0.962700,1.691956,0.929584,1.707619,0.963054,1.831959,1.004615,-2.336826,1.000050,2.020317,1.022903,1.972783,1.087691,1.913874,1.055911,2.004727,1.043935,2.106585,0.887941,1.035475,-0.657153,0.054938,1.132992,-1.939751,1.244848,-2.166132,2
0.347937,0,0.720619,-0.020574,0.767382,0.145225,0.913227,0.288660,0.962700,0.143297,0.929584,0.268260,0.963054,0.592105,1.004615,0.535828,1.000050,1.329866,1.022903,1.083627,1.087691,1.166372,1.055911,1.236075,0.864024,1.483687,0.684572,1.424076,0.829444,1.376836,0.684843,1.674351,0.699430,1.588364,1
